"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(FTM)","Value_OUT(FTM)","CurrentValue @ $0.9838/FTM","TxnFee(FTM)","TxnFee(USD)","Historical $Price/FTM","Status","ErrCode","Method"
"0x98e878b72db30db57512800d04613a8981e9b908af94d9c908e004d9c3b3bfe2","36998888","1650972346","2022-04-26 11:25:46","0x2408e836ebfcf135731df4cf357c10a7b65193bf","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0035231178183","0.00346604330964354","0.97","","","Collect Collateral",""
"0x7dc8e147a8e6ff4e27bffa27e5c5b3c40325e5b37ac8f374f7affa54de9da4c1","36998990","1650972446","2022-04-26 11:27:26","0x2408e836ebfcf135731df4cf357c10a7b65193bf","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0214367570208","0.021089481557063","0.97","","","Redeem Fractional DEI",""
"0xc5410833bed1e1ecc28751f4021c9373745db404ba31bf31b2bb22eefac36d51","37000615","1650975012","2022-04-26 12:10:12","0x2408e836ebfcf135731df4cf357c10a7b65193bf","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.04638715653528","0.0456356845994085","0.97","","","Redeem Fractional DEI",""
"0xe1d626695218fb9b19be79ac26df27129fb31a544cd323b70a41c0da9a45dc87","37010294","1650986254","2022-04-26 15:17:34","0x06399c4af0de9e01add546adba102477a4d15b9a","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.040416919176","0.0397621650853488","0.97","","","Redeem Fractional DEI",""
"0x0e04e146089cae24fd8f9ee9b6a1c3b73bfe872fb12300f85d7503979a542aa2","37010689","1650986745","2022-04-26 15:25:45","0x06399c4af0de9e01add546adba102477a4d15b9a","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.01289681912","0.012687890650256","0.97","","","Collect Collateral",""
"0x7984a81cc7eb826887784976bcbd70d8e23323516f4611056086c940d386b334","37068740","1651060952","2022-04-27 12:02:32","0xe5227f141575dce74721f4a9be2d7d636f923044","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0153529925068","0.0151042740281898","0.99","","","Set Pool Parameters",""
"0x897be41ced2dfde257972c7be77d9c6f3f11cc1cbd0bd7c4bf4bfa85b91601aa","37070747","1651063010","2022-04-27 12:36:50","0xb4d7397808a68d440a4a741bc08efbc20ef714a6","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0327513483972","0.0322207765531654","0.99","","","Redeem Fractional DEI",""
"0xc286609a09e393eee0295bdc5b266fc97c6d8b2b5ccf9f0e173ef783525ffb72","37073642","1651065953","2022-04-27 13:25:53","0xb4d7397808a68d440a4a741bc08efbc20ef714a6","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0203035171536","0.0199746001757117","0.99","","","Redeem Fractional DEI",""
"0x7fd17c62fe97eb12d3e6b0a4688bd46e09f54319a12abc65d5928b3cc3ee4618","37073687","1651065997","2022-04-27 13:26:37","0xb4d7397808a68d440a4a741bc08efbc20ef714a6","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.005947773085","0.005851419161023","0.99","","","Collect Collateral",""
"0xb77cd9769b2aace0b959c924a6c82dddbacf7954389a4911111e872808288614","37086925","1651080691","2022-04-27 17:31:31","0x83b285e802d76055169b1c5e3bf21702b85b89cb","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0873874385989","0.0859717620935978","0.99","","","Mint Fractional DEI",""
"0x55b2f52cc4b9795fb3e96b415d64c3adad73cf314f700e9f57d6180682be86b4","37087086","1651080862","2022-04-27 17:34:22","0x83b285e802d76055169b1c5e3bf21702b85b89cb","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.083523749906","0.0821706651575228","0.99","","","Mint Fractional DEI",""
"0xedf3b8a446d496b9cc576a7b67e53c150fdde0a77d98e08173e9de1fef1c073b","37087301","1651081073","2022-04-27 17:37:53","0x83b285e802d76055169b1c5e3bf21702b85b89cb","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0839574984748","0.0825973869995082","0.99","","","Mint Fractional DEI",""
"0xe48b8d729d5b1a2fa10971ccbc35bc0b9dcaf39a66672770c3d0605340d4fa16","37087466","1651081247","2022-04-27 17:40:47","0x83b285e802d76055169b1c5e3bf21702b85b89cb","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.092568378931","0.0910687711923178","0.99","","","Mint Fractional DEI",""
"0x0b682e7e0d5085133b591c8bafc58cc57dbeaa157e197823fb7cddf96e444334","37087651","1651081424","2022-04-27 17:43:44","0x83b285e802d76055169b1c5e3bf21702b85b89cb","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.0945424338013","0.0930108463737189","0.99","","","Mint Fractional DEI",""
"0xd19f21daf874e4a2ef696d75ece48843073b056fb069029dec2caba8297c6d6c","37116607","1651115449","2022-04-28 03:10:49","0x701428525cbac59dae7af833f19d9c3aaa2a37cb","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.65684853270377","0.646207586473969","","","","Redeem Fractional DEI",""
"0x44e811b0f48a27b6f410429c74f685234ced254e903e2bf78b3d3e0caec0c2c3","37116756","1651115833","2022-04-28 03:17:13","0x701428525cbac59dae7af833f19d9c3aaa2a37cb","0x9bd5cc542bc922e95ba41c0702555e830f2c1cb4","","0","0","0","0.134882799845","0.132697698487511","","","","Collect Collateral",""
